domain,n_posts,total_engagement,avg_engagement,median_engagement
www.pflugervilleisd.net,798,24739,31.00125313283208,14.0
www.mexicoschools.net,398,24724,62.120603015075375,47.5
www.vcsc.k12.in.us,1701,24675,14.506172839506172,6.0
www.mpsaz.org,399,24643,61.76190476190476,32.0
www.bryantschools.org,398,24637,61.902010050251256,31.0
www.starpointcsd.org,398,24630,61.88442211055276,37.0
www.anderson1.k12.sc.us,398,24620,61.85929648241206,39.0
www.bsd.k12.pa.us,798,24595,30.82080200501253,13.0
www.ctasd.org,398,24584,61.768844221105525,50.5
www.albertgallatin.k12.pa.us,399,24573,61.58646616541353,46.0
www.mpisd.net,402,24556,61.08457711442786,39.0
www.neoshosd.org,198,24548,123.97979797979798,85.5
www.cheathamcountyschools.net,401,24492,61.077306733167084,40.0
www.sunnysideschools.org,405,24485,60.45679012345679,36.0
www.antioch.k12.ca.us,398,24476,61.49748743718593,44.0
www.christian.kyschools.us,398,24412,61.336683417085425,38.0
www.hisd.com,398,24400,61.30653266331658,45.5
www.fairfieldcityschools.com,398,24399,61.30402010050251,30.0
www.wbridgewaterschools.org,302,24394,80.7748344370861,61.0
www.meade.k12.sd.us,801,24343,30.39076154806492,18.0
myvolusiaschools.org,398,24334,61.14070351758794,44.0
www.bcschools.net,270,24288,89.95555555555555,64.5
www.irion-isd.org,1199,24277,20.24770642201835,13.0
www.danvillepublicschools.org,798,24277,30.42230576441103,17.0
www.dpsnc.net,398,24244,60.914572864321606,34.0
www.lkcisd.net,406,24176,59.54679802955665,27.0
eurekaspringsschools.k12.ar.us,796,24158,30.349246231155778,22.0
www.richmond.k12.mi.us,663,24153,36.42986425339367,22.0
www.pilotpointisd.com,1663,24105,14.494888755261575,8.0
www.nsd131.org,398,24104,60.562814070351756,38.0
www.richlandone.org,398,24094,60.537688442211056,31.0
www.searcyschools.org,398,24055,60.43969849246231,40.0
www.nesd1.org,398,24022,60.35678391959799,44.0
www.lakelandschools.org,398,24013,60.334170854271356,35.5
www.parmacityschools.org,398,23976,60.24120603015076,27.5
www.cvsd.org,432,23971,55.488425925925924,38.0
www.mattoon.k12.il.us,398,23951,60.178391959798994,39.0
