nces_id,n_posts,total_engagement,total_likes,total_comments,total_shares,avg_engagement,median_engagement,p90_engagement,max_engagement,pct_with_image,pct_with_link,pct_with_text
2629460,198,4778,3832,602,344,24.13131313131313,15.0,58.50000000000006,164,0.5959595959595959,0.2676767676767677,0.9191919191919192
633900,172,1381,1215,132,34,8.029069767441861,4.0,20.900000000000006,64,0.4941860465116279,0.25,0.8546511627906976
3625500,401,12255,9633,1296,1326,30.561097256857856,19.0,63.0,305,0.5037406483790524,0.314214463840399,0.7880299251870324
5307650,403,3160,2942,161,57,7.841191066997519,4.0,19.80000000000001,110,0.6426799007444168,0.228287841191067,0.7791563275434243
691030,401,5971,4708,259,1004,14.890274314214464,11.0,32.0,89,0.3915211970074813,0.6783042394014963,0.8528678304239401
2927830,637,36830,31622,3541,1667,57.81789638932496,36.0,138.39999999999998,653,0.5620094191522763,0.1726844583987441,0.7551020408163265
5300336,403,2721,2300,299,122,6.751861042183623,4.0,16.0,112,0.4739454094292804,0.20843672456575682,0.749379652605459
1900015,425,15665,13254,1635,776,36.858823529411765,18.0,103.60000000000002,244,0.2776470588235294,0.3976470588235294,0.788235294117647
2700159,199,1621,1494,109,18,8.14572864321608,6.0,16.0,137,0.542713567839196,0.10050251256281408,0.6130653266331658
3000002,402,5287,4987,224,76,13.151741293532337,9.0,29.0,63,0.7786069651741293,0.05223880597014925,0.8681592039800995
3415900,398,15834,15393,393,48,39.78391959798995,28.5,82.30000000000001,226,0.6658291457286433,0.2135678391959799,0.9246231155778895
5308610,398,22559,20040,1854,665,56.68090452261306,41.0,120.0,457,0.6758793969849246,0.457286432160804,0.8567839195979899
1738370,159,691,597,36,58,4.345911949685535,3.0,10.200000000000017,21,0.36477987421383645,0.3081761006289308,0.8679245283018868
4111610,121,1252,1096,141,15,10.347107438016529,7.0,22.0,69,0.7768595041322314,0.12396694214876033,0.8181818181818182
1001680,398,28348,23080,4699,569,71.22613065326634,70.0,112.0,408,0.7311557788944724,0.15829145728643215,0.9120603015075377
2503720,205,1426,944,163,319,6.95609756097561,4.0,16.0,73,0.04878048780487805,0.3073170731707317,0.7414634146341463
3628800,204,5823,5081,610,132,28.544117647058822,16.5,82.40000000000003,198,0.4264705882352941,0.20098039215686275,0.803921568627451
1729340,1015,21753,18647,2261,845,21.43152709359606,13.0,52.200000000000045,242,0.594088669950739,0.15566502463054188,0.8118226600985222
3105970,199,10217,9134,863,220,51.34170854271357,37.0,125.0,349,0.457286432160804,0.20100502512562815,0.914572864321608
4223760,9,48,37,9,2,5.333333333333333,4.0,10.600000000000001,21,0.4444444444444444,0.1111111111111111,0.8888888888888888
2740665,203,4533,3951,191,391,22.330049261083744,15.0,48.80000000000001,108,0.32019704433497537,0.2955665024630542,0.4187192118226601
4031350,448,8613,6800,1040,773,19.225446428571427,11.0,44.30000000000001,349,0.38169642857142855,0.34375,0.7053571428571429
5309390,398,4806,4293,342,171,12.075376884422111,6.0,31.0,105,0.3492462311557789,0.1934673366834171,0.821608040201005
2635010,409,9792,7887,1274,631,23.941320293398533,16.0,50.599999999999966,204,0.3691931540342298,0.09290953545232274,0.6454767726161369
5008430,80,26,24,0,2,0.325,0.0,1.0,5,0.175,0.15,0.975
903515,23,126,125,1,0,5.478260869565218,4.0,13.8,17,0.0,0.0,0.0
2741060,199,5935,5490,266,179,29.824120603015075,22.0,66.20000000000002,132,0.5025125628140703,0.27638190954773867,0.8693467336683417
2600113,198,4270,3625,586,59,21.565656565656564,21.0,34.0,112,0.6464646464646465,0.10606060606060606,0.9141414141414141
905280,201,7928,7184,546,198,39.44278606965174,28.0,79.0,243,0.6318407960199005,0.2537313432835821,0.7810945273631841
2106000,412,13527,10354,2297,876,32.83252427184466,20.0,72.80000000000007,378,0.308252427184466,0.08495145631067962,0.6699029126213593
3904518,403,15981,14002,1237,742,39.655086848635236,29.0,81.40000000000003,391,0.5508684863523573,0.21339950372208435,0.8287841191066998
3901503,198,927,754,115,58,4.681818181818182,3.0,12.0,43,0.5151515151515151,0.15656565656565657,0.7727272727272727
4838580,413,4854,4231,352,271,11.753026634382566,5.0,33.0,125,0.5520581113801453,0.3026634382566586,0.6368038740920097
3003420,198,2736,2358,303,75,13.818181818181818,8.0,27.0,133,0.6464646464646465,0.09595959595959595,0.98989898989899
4606240,198,1315,1185,67,63,6.641414141414141,3.0,18.600000000000023,53,0.07575757575757576,0.09595959595959595,0.98989898989899
1705910,200,892,736,83,73,4.46,3.0,10.099999999999994,41,0.605,0.55,0.57
2604950,746,31201,25219,4905,1077,41.82439678284182,10.5,136.0,344,0.3780160857908847,0.2386058981233244,0.5549597855227882
2606630,222,5342,4535,368,439,24.063063063063062,15.5,51.900000000000006,162,0.3108108108108108,0.26576576576576577,0.5
4811250,443,9144,7041,912,1191,20.641083521444695,13.0,49.60000000000002,168,0.3340857787810384,0.2866817155756208,0.7832957110609481
3605340,205,5706,5344,334,28,27.834146341463416,25.0,57.599999999999994,98,0.624390243902439,0.3121951219512195,0.8878048780487805
3605370,198,2221,2094,120,7,11.217171717171718,9.0,20.30000000000001,110,0.7222222222222222,0.2777777777777778,0.8080808080808081
